benchmark,exp,flow,wl_gr,vias_gr,time_gr,mem_gr,wl_dr,vias_dr,OFGW,OFGV,OFTW,OFTV,WWW,short_area,min_area,spacing,score,time_dr,mem_dr
ispd18_test8,exp152,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),63262500,2073510,823,7644,12985829870,2114014,9147476080,759217,10411220,28503,39307140,409200,0,8,83449382,1656,5009
ispd18_test8,exp157,PL: Contest; GR: CRP-FPM; DR: Triton (Improve UnitShortCost-Pitch of the layers),63412800,2046200,121,4607,12996980960,2098037,53406840,18519,10233120,28514,39130200,0,0,0,37223827,1650,5177
ispd18_test8,exp158,PL: Contest; GR: CUGR_ORIG; DR: Triton,64369000,2174610,165,4475,13032526370,2146545,57597200,18251,7954580,28508,39059580,0,0,0,37424335.27,1620,5359
ispd18_test9,contest,PL: Contest; GR: Contest; DR: LuLuRoute,na,na,na,na,11484579286,2306399,434022520,19254,3015840,0,41669920,25072710120,124830,383340,603223377,na,na
ispd18_test9,exp28,PL: Contest; GR: Contest; DR: DRCU,na,na,na,na,10952057744,2410790,71698090,55318,5271443,0,35517559,593200,522,109,33129214,814,11457
ispd18_test9,exp151,PL: Contest; GR: Contest; DR: Triton,na,na,na,na,10882227420,2246531,167352000,73219,16196720,28786,49429600,0,0,0,32925035,1045.68,5280.8
ispd18_test9,exp88,PL: Contest; GR: CUGR; DR: Triton,52366500,2039290,209,5018,10790468470,2089785,50525630,18249,9629640,28505,38058640,0,0,0,31669491,1844,5291
ispd18_test9,exp40,PL: Eh?Placer; GR: CUGR; DR: Triton,52839600,2049730,208,5024,10900073860,2100260,58102610,18603,9807310,28496,38322840,0,0,0,32004449,1868,5613
ispd18_test9,exp89,PL: DreamPlace; GR: CUGR; DR: Triton,52796900,2064110,208,5039,10890560620,2097726,54242520,17929,9669760,28499,38370370,0,0,0,31955520,1871,5299
ispd18_test9,expT2,PL: ILP-Based; GR: ILP-based; DR: Triton,53234000,2181840,277,na,10814989640,2150331,56657570,17932,7439130,28469,37538890,0,0,0,31874117,4958,na
ispd18_test9,exp90,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),52300100,1990780,346,5342,10793308950,2065279,46659160,18625,9726130,28518,40916220,0,0,0,31623166,1979,5349
ispd18_test9,exp91,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),52155100,1887200,0,8262,10796910240,2021970,39658740,19029,9781010,28549,45222880,0,0,0,31532654,2034,5205
ispd18_test9,exp152,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),52246300,2063880,645,7242,10783408490,2105899,7020824360,764483,9971270,28496,38389420,376200,0,5,67291498,1476,5657
ispd18_test9,exp157,PL: Contest; GR: CRP-FPM; DR: Triton (Improve UnitShortCost-Pitch of the layers),52342900,2037460,76,4357,10787193410,2088770,50364190,18409,9819970,28501,38269450,0,0,0,31660152,1405,4918
ispd18_test9,exp158,PL: Contest; GR: CUGR_ORIG; DR: Triton,53197800,2180220,107,4170,10808334600,2149742,57866170,17983,7490310,28479,37696250,0,0,0,31863320,1368,5306
ispd18_test10,contest,PL: Contest; GR: Contest; DR: LuLuRoute,na,na,na,na,13548295780,2439382,934634001,27945,3524440,0,41136800,53462778220,128049,392663,973977612,na,na
ispd18_test10,exp28,PL: Contest; GR: Contest; DR: DRCU,na,na,na,na,13618037296,2594386,213340113,97600,7971242,0,47221944,103283900,600,918,42704252,1814,11891
ispd18_test10,exp151,PL: Contest; GR: Contest; DR: Triton,na,na,na,na,13535275510,2428654,239568520,114008,21359020,32126,60713100,216000,3,0,40400636,1698.79,5451.5
ispd18_test10,exp88,PL: Contest; GR: CUGR; DR: Triton,65832800,2173380,286,5376,13531267140,2247318,130711250,50012,15826250,32372,51423670,72000,0,0,39356328,3934,6184
ispd18_test10,exp40,PL: Eh?Placer; GR: CUGR; DR: Triton,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf
ispd18_test10,exp89,PL: DreamPlace; GR: CUGR; DR: Triton,79218700,2234560,319,5447,16168692510,2300029,209961520,68326,17869170,32539,55789170,19044700,500,0,46984139,18868,6161
ispd18_test10,expT2,PL: ILP-Based; GR: ILP-based; DR: Triton,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf,dnf
ispd18_test10,exp90,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),65805600,2169030,311,5582,13530628370,2245105,150249980,52888,16370570,32554,52764370,24000,0,0,39458521,4443,6037
ispd18_test10,exp91,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),66371600,2241410,693,5474,13573848070,2282881,9318591000,885291,12449600,32445,53451350,1660900,0,13,86336715,2680,5926
ispd18_test10,exp152,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),65816600,2181820,673,5418,13527647460,2251113,9445796220,869876,15806760,32377,51560960,2311600,0,20,86788795,6014,2893
ispd18_test10,exp157,PL: Contest; GR: CRP-FPM; DR: Triton (Improve UnitShortCost-Pitch of the layers),65768000,2172180,144,4638,13524268740,2244913,137304340,50711,15812950,32422,51485480,24000,0,0,39367412,5706,3173
ispd18_test10,exp158,PL: Contest; GR: CUGR_ORIG; DR: Triton,66783200,2310150,199,4435,13559337850,2309607,153808700,53950,12739340,32468,52276950,0,0,0,39666253,2914,5655
