benchmark,rank,flow,score,gap
ispd18_test7,9,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),81587627,44762052
ispd18_test7,10,PL: Contest; GR: Contest; DR: LuLuRoute,dnf,dnf
ispd18_test8,1,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),37101677,0
ispd18_test8,2,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),37168218,66541
ispd18_test8,3,PL: Contest; GR: CUGR; DR: Triton,37237799,136122
ispd18_test8,4,PL: ILP-Based; GR: ILP-based; DR: Triton,37445184,343507
ispd18_test8,5,PL: DreamPlace; GR: CUGR; DR: Triton,37654538,552861
ispd18_test8,6,PL: Eh?Placer; GR: CUGR; DR: Triton,37739391,637714
ispd18_test8,7,PL: Contest; GR: Contest; DR: Triton,38307564,1205887
ispd18_test8,8,PL: Contest; GR: Contest; DR: DRCU,38602461,1500784
ispd18_test8,9,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),83449382,46347705
ispd18_test8,10,PL: Contest; GR: Contest; DR: LuLuRoute,161426598,124324921
ispd18_test9,1,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),31532654,0
ispd18_test9,2,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),31623166,90512
ispd18_test9,3,PL: Contest; GR: CUGR; DR: Triton,31669491,136837
ispd18_test9,4,PL: ILP-Based; GR: ILP-based; DR: Triton,31874117,341463
ispd18_test9,5,PL: DreamPlace; GR: CUGR; DR: Triton,31955520,422866
ispd18_test9,6,PL: Eh?Placer; GR: CUGR; DR: Triton,32004449,471795
ispd18_test9,7,PL: Contest; GR: Contest; DR: Triton,32925035,1392381
ispd18_test9,8,PL: Contest; GR: Contest; DR: DRCU,33129214,1596560
ispd18_test9,9,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),67291498,35758844
ispd18_test9,10,PL: Contest; GR: Contest; DR: LuLuRoute,603223377,571690723
ispd18_test10,1,PL: Contest; GR: CUGR; DR: Triton,39356328,0
ispd18_test10,2,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),39458521,102193
ispd18_test10,3,PL: Contest; GR: Contest; DR: Triton,40400636,1044308
ispd18_test10,4,PL: Contest; GR: Contest; DR: DRCU,42704252,3347924
ispd18_test10,5,PL: DreamPlace; GR: CUGR; DR: Triton,46984139,7627811
ispd18_test10,6,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),86788795,47432467
ispd18_test10,7,PL: Contest; GR: Contest; DR: LuLuRoute,973977612,934621284
ispd18_test10,8,PL: Eh?Placer; GR: CUGR; DR: Triton,dnf,dnf
ispd18_test10,9,PL: ILP-Based; GR: ILP-based; DR: Triton,dnf,dnf
ispd18_test10,10,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),dnf,dnf
